tic,conm,cik,sic
CMI,CUMMINS INC,26172,3510
CUR.1,CURRENT INCOME SHS,26261,6726
CW,CURTISS-WRIGHT CORP,26324,3728
CUS.1,CUSTOMEDIX CORP,26361,3843
DTGP,XO LOGIC INC,26379,9995
STST.1,ARGON ST INC,26537,3812
DCL.1,DAMON CORP,26757,8071
DAN,DANA INC,26780,3714
3EIPME,EIP MICROWAVE INC,26782,3825
PXFG,PHOENIX FOOTWEAR GROUP INC,26820,3140
DAN.2,DANIEL INDUSTRIES,26821,3823
DART,DART GROUP CORP  -CL A,26938,5411
SMTI.1,SMTEK INTERNATIONAL INC,26987,3672
DDIM,DATA DIMENSIONS INC,26990,7370
DGN.,DATA GENERAL CORP,26999,3570
CSTR.1,COSTAR CORP,27025,3089
DMAR.1,DATAMARINE INTL INC,27075,3663
DMCP,DATAMETRICS CORP,27082,3577
USAU,U.S. GOLD CORP,27093,1000
DSCP,DATASCOPE CORP,27096,3845
DTAB10,DATATAB INC,27099,7374
3DVISC,DATAVISION INC,27109,3669
DTSI.1,DATRON SYSTEMS INC/DE,27116,3663
GPVI,DASH INDUSTRIES INC,27153,5130
DWW,DAVIS WATER & WASTE,27326,5051
DXR,DAXOR CORP,27367,3841
TZPC,THERMAFREEZE PRODUCTS CORP,27399,2721
TGT,TARGET CORP,27419,5331
AICOQ,AMCAST INDUSTRIAL CORP,27425,3714
DBAS,DBA SYSTEMS INC,27442,3812
DF.1,DEAN FOODS CO  -OLD,27500,2020
DBRSY,DE BEERS CONSOLIDATED MINES,27539,1400
3LYNGD,LYNTON GROUP INC,27566,4581
DINIQ,DECORATOR INDUSTRIES INC,27613,2390
DGTC,DGT HOLDINGS CORP,27748,6512
DLI,DEL LABORATORIES INC,27751,2844
DAL,DELTA AIR LINES INC,27904,4512
3DLTA.,DELTONA CORP,27984,6552
DLX,DELUXE CORP,27996,2780
HTEC.1,HYDRON TECHNOLOGIES INC,28146,2844
DEP.1,DEPOSIT GUARANTY CORP,28209,6020
7413B,DE ROSE INDUSTRIES,28262,2451
DSGT.1,DESIGNATRONICS INC,28323,3560
GRI.2,GRISTEDES FOODS INC,28325,5411
DAHL,DAHLBERG INC,28364,3842
DETC,DETECTION SYSTEMS INC,28365,3669
DTRX,DETREX CORP,28372,2800
DTUN,DETROIT & CANADA TUNNEL CORP,28374,4700
CMA,COMERICA INC,28412,6020
DEVC,DEVCON INTERNATIONAL CORP,28452,7380
DEX.1,DEXTER CORP,28582,2834
LCBM,LIFECORE BIOMEDICAL INC,28626,3843
DML.A,DICKENSON MINES LTD  -CL A,28771,1040
DBD,DIEBOLD NIXDORF INC,28823,3578
3BEMC,BERGSTROM CAPITAL CORP,28827,6726
VTS.,VERITAS DGC INC,28866,1382
DEC.1,DIGITAL EQUIPMENT,28887,3570
3DIPCE,DIGITAL PRODUCTS CORP,28895,7380
DDS,DILLARDS INC  -CL A,28917,5311
DIOD,DIODES INC,29002,3674
BRNR,BRENNER INTERNATIONAL INC,29051,2330
3DVFI,DIVERSIFIED INDUSTRIES INC,29208,3341
WII.,WEATHERFORD ENTERRA INC,29302,7359
TRDQ,TRADEQUEST INTERNATIONAL INC,29322,4899
DXYN,DIXIE GROUP INC,29332,2273
3DOAK,DOAK PHARMACAL CO INC,29386,2844
5554A,DR PEPPER CO,29415,2080
DG,DOLLAR GENERAL CORP,29534,5331
DMBK,DOMINION BANKSHARES CORP,29587,6020
UDI.,UNITED DOMINION INDUSTRIES,29590,3443
DCI,DONALDSON CO INC,29644,3714
CS1,CREDIT SUISSE USA INC,29646,6211
RRD,DONNELLEY (R R) & SONS CO,29669,2750
DNKYQ,DONNKENNY INC,29693,2330
CNSTQ,CONSTAR INTERNATIONAL INC,29806,3080
ESCRQ,ESCALERA RESOURCES CO,29834,1311
DOBQ,DOUGHTIE'S FOODS INC,29850,2013
DOV,DOVER CORP,29905,3559
DJ,DOW JONES & CO INC,29924,2711
OMC,OMNICOM GROUP INC,29989,7311
DRV.1,DRAVO CORP,30067,3270
DI.,DRESSER INDUSTRIES INC,30099,1382
3GEAA,GREATE BAY CASINO CORP,30117,7373
INSI,INSIGHT SELECT INCOME FD,30125,6726
LCRD,LASERCARD CORP,30140,3572
DRY.1,DREYFUS CORP,30163,6282
DRHA,DRIVER-HARRIS CO,30197,3357
ALCSQ,ALCO STORES INC,30302,5331
DCO,DUCOMMUN INC,30305,3728
DPX,DUPLEX PRODUCTS,30547,2761
DD.2,DU PONT (E I) DE NEMOURS,30554,2820
FLS,FLOWSERVE CORP,30625,3561
DUFM,DURR-FILLAUER MEDICAL,30645,5122
WEN,WENDY'S CO,30697,5812
3DACQE,DYNAMIC AMERICAN CORP,30780,1040
DYNC.1,DYNAMIC CLASSICS LTD,30786,5090
DYA,DYNAMICS CORP OF AMER,30819,3600
DRCO.,DYNAMICS RESEARCH CORP,30822,7373
COBR,COBRA ELECTRONICS CORP,30828,3663
DYSL,DYNASIL CORP OF AMERICA,30831,3827
3ACTRQ,ACTERNA CORP,30841,3825
ESY.1,E-SYSTEMS INC,30875,3812
EACI,EAC INDUSTRIES,30892,2750
EAGLE.1,EAGLE FOOD CENTERS INC,30908,5411
EGLP,EAGLE-PICHER INC,30927,3714
MXXH,MATRIXX RESOURCE HLDGS INC,30966,1381
ESCI,EARTH SCIENCES INC,30985,2870
8237B,HUNTER RESOURCES INC,31063,1311
3WRKSE,WORKSAFE INDUSTRIES INC,31079,3842
EML,EASTERN CO,31107,3420
EUA,EASTERN UTILITIES ASSOC,31224,4911
