cik,sic,conm
16526,1382,CALVERT EXPLORATION CO
16590,3572,CAMBEX CORP
16595,2835,CAMBRIDGE MEDICAL TECH CORP
16602,6792,CAMBRIDGE ROYALTY CO
16614,6036,CAMCO FINANCIAL CORP
16626,2300,CAMEL MFG CO
16664,3490,CAMIN INDUSTRIES CORP
16692,3490,CAMPBELL CHAIN CO
16732,2030,CAMPBELL SOUP CO
16741,2050,EARTHGRAINS CO
16766,2300,CAMPUS CASUALS OF CALIFORNIA
16804,1311,CANADA SOUTHERN PETROLEUM
16845,1311,CANADIAN HOMESTEAD OILS LTD
16846,5900,CANADIAN HYDROCARBONS LTD
16859,1000,SCULLY ROYALTY LTD
16862,1311,CANADIAN MERRILL LTD
16868,4011,CANADIAN NATIONAL RAILWAY CO
16873,1311,NEXEN INC
16875,4011,CANADIAN PACIFIC RAILWAY LTD
16918,2082,CONSTELLATION BRANDS
16926,3949,MADISON GROUP ASSOC INC
16983,2211,CANNON MILLS CO
16988,3577,CANON INC
16990,3640,CANRAD INC
16995,3580,CANTEEN CORP
17072,3651,CAPEHART CORP
17109,4833,CAPITAL CITIES/ABC INC
17206,6311,PROVIDIAN CORP
17313,6797,CAPITAL SOUTHWEST CORP
17350,4512,CAPITOL AIR INC
17385,6331,CAPITOL TRANSAMERICA CORP
17462,3290,CARBORUNDUM CO
17482,8742,CARDIAC RESUSCITATOR CORP
17485,5912,LIBERATOR MEDICAL HLDGS INC
17500,1311,CARDINAL PETROLEUM CO
17523,8050,CARE INNS INC
17592,6799,ALTAIR CORP-PUERTO RICO
17599,2300,CARIBBEAN LEISUREWEAR INC
17719,5141,SEAFOOD HOLDING CORP
17728,2000,CARNATION CO
17769,6552,CAROLINA CARIBBEAN CORP
17843,3312,CARPENTER TECHNOLOGY CORP
17927,5812,CARROLS CORP
18000,2844,CARTER-WALLACE INC
18029,5411,CARVEL CORP
18061,3537,CASCADE CORP
18072,4924,CASCADE NATURAL GAS CORP
18169,100,DOLE FOOD CO INC
18172,5051,CASTLE (A M) & CO
18180,6726,CASTLE CONVERTIBLE FUND INC
18230,3531,CATERPILLAR INC
18255,5621,CATO CORP  -CL A
18300,6532,ROYALE GROUP LTD
18349,6020,SYNOVUS FINANCIAL CORP
18366,4833,CBS INC
18396,7363,CDI CORP
18489,8051,CENCO INC
18497,6141,CENCOR INC
18498,5661,GENESCO INC
18508,6331,FOREMOST CORP OF AMERICA
18532,1531,CENTEX CORP
18540,4911,CENTRAL & SOUTH WEST CORP
18621,8741,CORPORATE CAPITAL RES INC
18748,6726,CENTRAL SECURITIES CORP
18751,7200,CENTRAL SERVICE INDUSTRIES
18758,2070,CENTRAL SOYA CO INC
18787,4813,CENTEL CORP
18808,4911,CENTRAL VERMONT PUB SERV
18819,6020,CENTRAN CORP
18827,3460,EKCO GROUP INC
18871,3621,CENTURY ELECTRIC CO
18873,6153,CENTURY BUSINESS CREDIT
18877,1000,CENTURY GEOPHYSICAL CORP
18900,5110,CENTURY PAPERS INC
18903,6512,CENTURY PROPERTIES
18914,6798,CENTURY REALTY TRUST
18926,4813,LUMEN TECHNOLOGIES INC
18937,3290,CERADYNE INC
18964,3350,CERRO CORP
18968,3290,CERTAINTEED CORP
18977,3990,CERTIFIED CORP
19002,2835,CYBRDI INC
19010,3721,CESSNA AIRCRAFT CO
19015,3651,CETEC CORP
19017,3670,CETRON ELECTRONIC CORP
19020,3312,CF & I STEEL CORP
19028,5140,CFS CONTINENTAL INC
19082,3728,CHALCO INDUSTRIES INC
19149,2750,CHAMPION INDUSTRIES INC
19150,2621,CHAMPION INTERNATIONAL CORP
19161,3714,CHAMPION PARTS INC
19162,2253,CHAMPION PRODUCTS INC
19167,3690,CHAMPION SPARK PLUG
19252,1311,CHAPARRAL RESOURCES INC
19353,5621,CHARMING SHOPPES INC
19411,8741,MAGELLAN HEALTH INC
19416,6020,IRVING BANK CORP
19446,3845,CANTEL MEDICAL CORP
19489,6020,CHASE MANHATTAN CORP  -OLD
19504,5812,CHATEAU DE VILLE INC
19514,2221,CHATHAM MFG CO
19520,2834,CHATTEM INC
19529,2741,CHC CORP
19540,3460,CHECKER MOTORS CORP
19550,2000,CHEF PIERRE INC
19558,2673,CHELSEA INDUSTRIES INC
19584,8082,CHEMED CORP
19612,6020,TCF FINANCIAL CORP
19617,6020,JPMORGAN CHASE & CO
19636,3559,CHEMINEER INC
19704,3640,CHERRY CORP
19731,2631,CHESAPEAKE CORP
19736,2430,CHESAPEAKE INDUSTRIES INC
19737,3812,CHESAPEAKE INSTRUMENT CORP
19745,4923,CHESAPEAKE UTILITIES CORP
19756,2890,CHESSCO INDUSTRIES INC
19855,6532,CHICAGO MILWAUKEE CORP
19863,3540,CHICAGO PNEUMATIC TOOL CO
19871,3452,CHICAGO RIVET & MACHINE CO
19902,3089,CUE INDUSTRIES INC
19913,6532,CHIEF CONSOLIDATED MINING CO
19919,1311,CHIEFTAIN DEVELOPMENT CO LTD
19930,5945,CHILD WORLD INC-NEW
19965,2721,CHILTON CO
19966,7320,CHILTON CORP
20031,3714,CHLORIDE CONNREX CORP
20041,2090,CHOCK FULL O NUTS CORP
20056,3060,CHOMERICS INC
20067,4833,CHRIS-CRAFT INDS
20104,4220,CHRISTIANA COMPANIES
20171,6331,CHUBB CORP
20212,7990,CHURCHILL DOWNS INC
20232,3663,CHYRONHEGO CORP
20236,1531,ENTERPRISE DEVELOPMENT GROUP
20286,6331,CINCINNATI FINANCIAL CORP
20290,4931,DUKE ENERGY OHIO INC
20331,7830,CINERAMA INC
20355,3640,CIRFICO HOLDINGS CORP
20356,2741,CIRCLE FINE ART CORP
20358,6726,CIRCLE INCOME SHS INC
20388,6172,CIT GROUP INC-OLD
