conm,tic,cik,sic
ARMATRON INTERNATIONAL INC,3ATRNE,8699,3524
ARMCO INC,AS.,7383,3312
ARMEL INC,AML.3,718438,5661
ARMIN CORP,ARP.2,7400,3081
ARMTEK CORP,ARM.,806858,3011
ARMSTRONG HOLDINGS INC,3ACKH,1109304,3089
ARNAV INDUSTRIES INC,1004B,776064,2330
ARNOLD CONSTABLE CORP,1964B,7478,5651
ARNOLD INDUSTRIES INC,AIND,700612,4213
ARP INSTRUMENTS INC,1078B,7523,3931
ARPEJA CALIFORNIA INC,ARPJ.1,3055,2300
ARRAYS INC,ARAY.1,732244,7372
ARROW AUTOMOTIVE INDUSTRIES,AIRW.,7533,3690
ARROW ELECTRONICS INC,ARW,7536,5065
ARROW HART INC,AROW..,7541,3613
ART EXPLOSION INC,ARTX.,720299,5940
ARTCO INDUSTRIES INC,ARTB.1,7575,2421
ARTEK SYSTEMS CORP,ARTK.,7580,3826
ARTEL COMMUNICATIONS CORP,AXXX,718044,3576
ARTISTIC GREETINGS INC,ARTG.1,7610,2780
ENTRADE INC,ETAD,897265,7370
ARTS & LEISURE CORP,ARTS.,7620,2771
ARTS WAY MFG INC,ARTW,7623,3523
ARUNDEL CORP,ARL.1,7627,3270
ARVIDA CORP,ARVC.,7634,6552
ARVIN INDUSTRIES INC,ARV,7636,3714
ARWOOD CORP,AWD.1,7641,3390
ASAMERA INC,ASM.2,7647,1311
ASARCO INC,AR.2,7649,3330
ASHLAND GLOBAL HOLDINGS INC,ASH,1674862,2820
ASHTON-TATE CO,TATE,727472,7372
ASPEN IMAGING INTL INC,ARIB,741517,3950
ASPEN SKIING CORP,ASKG,7748,7990
ASPEN SYSTEMS CORP,1341B,7750,7370
ASSOCIATED COMMUN  -CL A,ACCMA,230036,4812
ASSOCIATED DRY GOODS CORP,DG.2,7822,5311
ASSOCIATED FREIGHTWAYS INC,ASFR,7845,4210
ASSOCIATED GROCERS INC,4146B,7869,5141
ASSOCIATED MORTGAGE INVESTOR,3ASMSQ,7913,6798
ASSOCIATED PRODUCTS INC,ADU.1,7931,2040
ASSOCIATED TRANSPORT INC,ATP.1,7965,4210
ASTRO COMMUNICATIONS INC,ASTO,351385,3640
ASTRA CORP,2304B,8033,3612
ASTRADYNE COMPUTER INDS INC,ADYC,354768,7374
ASTREX INC,NWXJ,8038,5065
ASTRONOVA INC,ALOT,8146,3577
ASTRO-MED INC  -OLD,ASDI,1311735,3825
ASTROCOM CORP,ATCCQ,215155,3576
ASTRONICS CORP,ATRO,8063,3640
ASTROSYSTEMS INC,3ASTZ,8065,3823
ATALANTA CORP,ALT.2,8080,5140
ATCHISON TOPEKA & SANTA FE,4026A,8088,4011
ATCO LTD  -CL I,ACLLF,1261317,4932
ATCOR INC,ATCO.,721701,3640
ATHENA COMMUNICATIONS CORP,2801B,8097,4841
ASSOCIATES FIRST CAP -CL A,AFS,7974,6141
ATHEY PRODUCTS CORP,3ATPCQ,8109,3711
ATHLONE INDS,ATH.2,8117,3312
ATKINSON (G F) CO/CA,ATKQ,8137,1600
ATKINSON (W.P. BILL)  -CL A,1479B,1007733,6512
SOUTHERN CO GAS,SO7,1004155,4924
ATLANTIC BANCORPORATION,ABAN.,931871,6020
ATLANTIC ENERGY INC,ATE.2,806393,4911
ATLANTIC OIL CORP,3069B,8241,3911
ATLANTIC RESEARCH CORP,ATRC.,8254,3760
ATLANTIC RICHFIELD CO,ARC.3,775483,2911
ASA HOLDINGS INC,ASAI.,1023944,4512
ATLANTIC STEEL CO,ATST,8273,3312
ATLANTIC TELECASTING CORP,2875B,278311,4833
ATLAS AMERICAN CORP,1526B,8290,5063
ATLAS CONS MINING & DEV CORP,ACMBB,1575721,1000
ATLAS MINERALS INC,ATMR.1,8302,1040
ATLAS HOTELS INC,AHTL,8316,7011
ATWOOD OCEANICS,ATW,8411,1381
AUDEC CORP,ADUCC,752296,3661
AUDIOTRONICS CORP,3ADOT.,8447,3651
REX AMERICAN RESOURCES CORP,REX,744187,2860
AUGAT INC,AUG.1,8462,3714
AULT INC,AULT.,723639,3679
ASSURANCEAMERICA CORP,ASAM,8497,6411
AURIC INTERNATIONAL INC,1440B,44019,9995
AURORA PRODUCTS CORP,AUR.1,8507,3944
AUSTRON INC,ATRN.,701340,3825
AUTHENTICOLOR INC,ATCR,8588,7384
AGENT INFORMATION SOFTWR INC,AIFS,8598,7372
AUTO-TROL TECHNOLOGY CORP,3ATRC,278048,7373
UNIT INSTRUMENTS INC,UNII.,350067,3823
AUTODESK INC,ADSK,769397,7370
AUTODYNAMICS INC,AUDY,8617,3690
DIALYSIS CORP OF AMERICA,DCAI,201653,8090
AUTOMATED MICROSYSTEMS INC,3AUMI,741349,5734
AUTOMATED PROCESSES INC,1521B,8648,3651
AUTOMATED SYSTEMS INC,ASII.,754876,3672
AUTOMATED TECHNOLOGY CORP,2210B,8659,3825
AUTO SOLER CO,ASOL,8609,3350
AUTOMATIC DATA PROCESSING,ADP,8670,7374
AUTOMATIC MERCHANDISING INC,1468B,8692,5960
AUTOMATION INDUSTRIES INC,AII.2,8721,8700
AMBASSADOR FOOD SVCS CORP,ABDR,8734,5812
ACUITY IMAGING INC,ACUT,702891,7373
AUTOMOCO CORP,AUMO,93021,3714
AUTONUMERICS INC,ATNW,8752,3823
AUTOSPA CORP,3AUSA,720411,6794
AUTOTROL CORP,AUTR.,8759,3823
DELSITE INC,DSIIQ,718007,2834
AVALON CORP,AVL.2,22229,1311
AVANT-GARDE COMPUTING INC,AVGAQ,720148,7373
AVANTEK INC,AVAK,277161,3674
A V HOMES INC,AVHI,39677,1531
AVCO CORP,TXT1,8793,3724
AVCO FINANCIAL SERVICES INC,TXT2,8795,6141
AVEMCO CORP,AVE.1,8802,6331
AVERY INC,AVRY,740630,1220
AVERY DENNISON CORP,AVY,8818,2670
AVIALL INC,AVL.1,701650,5080
AVIEN INC,AVN.2,8843,3679
AVIS INC,AVS.2,8848,7500
AVIS INDUSTRIAL CORP,AVS.1,8849,3490
AVNET INC,AVT,8858,5065
AVON PRODUCTS,AVP,8868,2844
AVONDALE MILLS INC,AVD.1,1016263,2200
AXIA INC,AX.2,12635,3420
AYDIN CORP,AYD,8919,3663
AZCON CORP,AZNC,8938,5099
AZZ INC,AZZ,8947,3640
AZTEC OIL & GAS CO,AOG.1,8952,1311
AZUSA VALLEY WATER CO,2587B,8958,4941
AZTEC RESOURCES CORP,AZCO,317149,1311
AZTECH INTERNATIONAL LTD,3AZIN,225067,3634
BRITISH AMER TOBACCO PLC,BTI,1303523,2111
BDI INVESTMENTS CORP,BDII,14343,5190
BGS SYSTEMS INC,BGSS,718976,7372
BI INC,BIAC,716629,7380
BIW CABLE SYSTEMS INC,BIWC,212,3357
BKW SYSTEM INC-DEL,5945B,724679,7373
BMC INDUSTRIES INC,BMMI,215310,3470
BOC GROUP PLC,BOX.1,715095,2810
BRK PETROLEUM INC,1525B,201301,1381
BRT APARTMENTS CORP,BRT,14846,6798
BSD BANCORP INC,3BSDBE,319498,6020
BSD MEDICAL CORP,PRSNQ,320174,3845
KNOWLEDGE DATA SYSTEMS INC,KDSI,319316,7373
CERPLEX GROUP INC,CPLXQ,319237,7370
BTK INDUSTRIES INC,BTK,12152,2320
MID-ATLANTIC REALTY TRUST,MRR,909298,6798
BAV LIQUIDATING CORP,3BAVLE,10366,1220
BPI SYSTEMS INC,BPII,702182,7372
BR COMMUNICATIONS,BRHF,715075,3663
BMC INTERNATIONAL CORP,LITE.4,355975,5090
BP PIPELINES INC,BP1,276968,4610
BACARDI CORP  -CL A,3BACDA,9029,2080
BACHE GROUP INC,BAC.,898733,6211
BADGER METER INC,BMI,9092,3824
BADGER PAPER MILLS INC,BPMI,9096,2621
BAIRD CORP,BATM,9198,3826
BAIRNCO CORP,BZ.2,350750,2821
BAKER COMMUNICATIONS INC,CAEJ,726656,2711
BAKER (MICHAEL) CORP,BKR.1,9263,8711
BAKER INDUSTRIES INC,BAK.,9247,7381
BAKER HUGHES INC,BHI,808362,1381
BALA CYNWYD CORP,BLCY,52813,9995
BALANCE COMPUTER CORP,4090B,320553,7373
BALCHEM CORP  -CL B,BCPC,9326,2834
BALDOR ELECTRIC CO,BEZ,9342,3621
PROTECTIVE INSURANCE CORP,PTVCB,9346,6331
BALBOA EXPLORATION CO,2983B,319517,1311
BALCO ENERGY CORP,BLCO.1,205,1311
PHLCORP,PHX.3,230046,6199
BALL CORP,BLL,9389,3411
BALLARD MEDICAL PRODUCTS,BMP.1,723534,3841
BALLY ENTERTAINMENT CORP,BLY,9435,7990
BALTEK CORP,BTEK.1,9442,2430
BALTIMORE & OHIO RAILROAD CO,2305B,9447,4011
BALTIMORE BUSINESS FORMS INC,BBUS.1,9452,2761
CONSTELLATION ENERGY GRP INC,CEG,1004440,4931
BANK ONE CORP,ONE.1,1067092,6020
BANCO CENTRAL HISPANO,BCH.1,723041,6020
POPULAR INC,BPOP,763901,6020
BANCOHIO CORP,BOHI,9514,6020
BANCOKLAHOMA CORP,BOKCC,9515,6020
BANK OF HAWAII CORP,BOH,46195,6020
BANCTEC INC-REDH,BTEC.1,318378,7372
FIRST BANKS AMER INC,FBA,310979,6020
BANDAG INC,BDG.2,9534,3011
BANFF OIL LTD,BNF.2,9542,1311
BANGOR HYDRO-ELECTRIC CO,EMA1.,9548,4911
BANGOR PUNTA CORP,BNK.2,9549,3721
BFC CONSTRUCTION CORP,BNC,109553,1600
BANKBOSTON CORP,BKB.2,36672,6020
BANK BUILDING &EQUIP CORP AM,3BBEQ,313214,1540
BANK OF NEW ENGLAND CORP,NEBK,71322,6020
BANK OF NEW YORK MELLON CORP,BK,1390777,6020
BANK SOUTH CORP,BKSO,39394,6020
SIGNET BANKING CORP,SBK.1,9659,6020
BRE PROPERTIES INC,BRE,1011174,6798
BANKCOM CORP,4099B,9568,3578
VSI HOLDINGS INC,VSIH,354611,8700
BANKERS TRUST CORP,BT.2,9749,6020
BANKS OF IOWA,BIOW.1,9767,6020
LIBERTY BANCORP INC/OK,LBNA,737287,6020
FAIRCHILD CORP  -CL A,FCHDQ,9779,2300
BANTA CORP,BN.2,9801,2750
BANTAM BOOKS INC,BOOK.,9803,2731
BAR CODE INC,4647B,735526,3577
BARBER OIL CORP,BBO.1,9842,1220
BARCO OF CALIFORNIA,BRC.4,9888,2330
BARD (C.R.) INC,BCR,9892,3841
BARDEN CORP,BARD,9901,3562
BARDSTOWN PARTNERS LTD,BBRLZ,10214,2080
BARNES ENGINEERING CO,BIR.1,9981,3812
BARNES GROUP INC,B,9984,3490
BARNETT BANKS INC,BBI.2,10012,6020
BARNWELL INDUSTRIES,BRN,10048,1311
BARON DATA SYSTEMS,BDSY,10057,3579
BARRETT RESOURCES CORP,BRR.2,351993,1311
BARRICK GOLD CORP,GOLD,756894,1040
BARRIER SCIENCE & TECH INC,BUGX,732786,2842
BARRINGER TECHNOLOGIES,BARR,10119,3829
GUBER-PETERS ENTMT,GPEC,10124,7812
BARRISTER GLOBAL SVCS NTWK,BRTR,754128,7370
BARRY (R G) CORP,DFZ,749872,3140
BARTELL MEDIA CORP,BMC.1,10173,2721
BARTON INDUSTRIES INC,BARTE,352383,3490
BARUCH-FOSTER CORP,BFO.1,10226,1311
BASCO INC,BSCO.,10240,5399
BASE TEN SYSTEMS  -CL A,3BASEA,10242,9995
BASIC AMERICAN CORP,2228B,10248,6552
BASIC AMERICAN MEDICAL INC,BAMI.1,717723,8062
BASIC FOOD INDUSTRIES INC,BFOD,10257,2015
BASIC INC,BAI,10253,3290
BASIC PETROLEUM INTL LTD,BPILF,711345,1311
BASIN PETROLEUM CORP,BNP.1,10303,1311
BASIX CORP,3BXCPE,106790,2750
BASSETT FURNITURE INDS,BSET,10329,2511
BASSETT WALKER INC,BWKR,712618,2250
BAUSCH & LOMB HLDGS  -REDH,6583B,1416436,2834
BAXTER INTERNATIONAL INC,BAX,10456,2834
BAY FINANCIAL CORP,BYFL,313294,6510
BAY STATE GAS,BGC.2,10488,4923
BAYBANKS INC,BBNK.,10497,6020
BAYLY CORP,BAYLQ,10518,2320
BAYOU RESOURCES INC,GDP1,705365,1311
BAYSTAR PETROLEUM CORP,4310B,317831,1311
BEAMAN CORP,BECO.,10609,3448
BEAR CREEK CORP,BCRK,1103934,100
BEARD CO,BRCOQ,909992,9995
APPLIED INDUSTRIAL TECH INC,AIT,109563,5080
BEATRICE COS INC,4708C,785960,2000
BEAVER MESA EXPLORATION CO,BMEX,10707,1311
BECK INDUSTRIES INC,BEK..,10736,3140
CHINA SHOUGUAN MINING CORP,CHSO,1493893,1040
BE HOLDINGS INC  -CL A,5372C,824776,3532
BECTON DICKINSON & CO,BDX,10795,3841
BEDFORD COMPUTER CORP,4361B,353586,3575
NITCHES INC,NICH,772263,2330
BEECH AIRCRAFT CORP,BCX.2,10829,3721
BEECHAM INC,BEEC.,10841,2844
BEEHIVE INTERNATIONAL,3BHIVE,10866,3575
BEELINE INC,BLNE,10873,2300
BEGLEY CO,BGLY,10889,5912
BEISINGER INDUSTRIES CORP,1639B,10915,3060
BEKINS CO,BEKN,1051691,4210
BEL FUSE INC,BELFB,729580,3677
BELCO PETROLEUM CORP,BPC.3,10940,1311
BELCO POLLUTION CONTROL CORP,BLCO.,10943,3569
SILVER ASSETS INC,3CILVE,99286,1044
BELDEN & BLAKE CORP,4994B,880114,1311
CARLYLE INDUSTRIES INC,3CRLH,11027,3960
BELKNAP INC,BELP.,11038,5070
BELL (W.) & CO INC,BLLQE,11109,5399
BELL & HOWELL OPERATING CO,PQE1,899596,3579
VERIZON COMMUNICATIONS INC,VZ,732712,4812
BCE INC,BCE,718940,4813
BELL INDUSTRIES INC,BLLI,945489,7373
BELL PETROLEUM SERVICES INC,BPSI,353541,1389
BELL CANADA,BCE1,225090,4813
VERIZON INC/PA,VZ2,11107,4813
BELLANCA AIRCRAFT CORP,BLNC10,201229,3721
BELLSOUTH CORP,BLS,732713,4813
BELMORAL MINES LTD,8476B,275125,1040
BELO CORP  -SER A COM,BLC,356080,4833
BELSCOT RETAILERS INC,BRI.1,11170,5651
BELTRAN CORP,4252B,356055,200
BELVAC INTL INDUSTRIES LTD,1165B,11188,5047
BEMIS CO INC,BMS,11199,2670
BENCH CRAFT INC,UFURF1,724885,2510
BENDIX CORP,ALD1,11234,3714
DOCPLANET.COM INC,3DOCPE,312651,5122
BENEFICIAL CORP,BNL.1,8960,6141
BENGAL OIL & GAS CORP,4670B,11285,1311
BENGUET CORP,BENG,11290,1000
BENIHANA INC,BNHN,935226,5812
BENNETT PETROLEUM CORP,3BENT,11337,1311
BENOS,1063B,66860,5311
BERCOR INC,6304B,770503,5090
BERG ENTERPRISES INC,BRG.2,11440,6162
BERGEN BRUNSWIG CORP  -CL A,BBC.1,11454,5122
BERGER INDUSTRIES INC,3BRGE,11475,3317
BERGSTROM PAPER CO,BPER,11508,2600
BERKEY INC,BKY,11534,5040
BERKLINE CORP,6353A,11545,2510
BERKSHIRE ENERGY RESOURCES,BERK.,1056255,4924
BERKSHIRE HATHAWAY,BRK.B,1067983,9997
BERMEC CORP,BMAO,11617,7389
BERNARD SCREEN PRINTING CORP,1456B,11641,2200
BERRY INDUSTRIES CORP,4226B,73743,1382
BERTEA CORP,BTA.1,11744,3728
BERVEN CARPETS CORP,BVN.2,11763,2273
BESICORP GROUP INC,BGI.EC,320443,4991
BEST BUY CO INC,BBY,764478,5731
BEST PRODUCTS,BESOQ,11821,5399
BEST LOCK CORP,3BTLK,11814,3420
BETHLEHEM CORP,BEHP,11856,3567
BETHLEHEM STEEL CORP,3BHMSQ,11860,3312
BETZDEARBORN INC,BTL.1,11884,2890
BEVERAGE CANNERS INC,2832B,11899,2086
BEVERAGE MANAGEMENT INC,BEVM,11906,2086
BEVERLY ENTERPRISES INC,BEV,1040441,8051
BEVIS INDUSTRIES INC,1265B,11929,3317
BIC CORP,BIC.,11975,3950
BICKFORD CORP,BIK.,57933,5812
BIG B INC,BIGB,352720,5912
BIG BEAR STORES,6733B,848099,5411
BIG DRUM INC,BIGD.1,12043,2650
NATIONAL ENERGY GROUP,NEGI,870756,1311
BIG SKY TRANSPORTATION,BSKT.2,313522,4512
BIG SPRING EXPLORATION INC,1501B,12097,1311
HYDROGEN ENERGY CORP,THEC,215244,1311
BILLUPS WESTERN PETROLEUM CO,BILL.,200074,5500
BINDLEY WESTERN INDS,BDY.1,722808,5122
BK ENTERTAINMENT,STUA10,355142,3944
SAMES CORP,SMCO,12180,3560
BINNEY & SMITH INC,BYS.,12184,3950
BIO-MEDICUS INC,BMDS,12204,3841
BIO-RAD LABORATORIES INC,BIO,12208,3826
SAVIENT PHARMACEUTICALS INC,SVNTQ,722104,2836
BIOCELL TECHNOLOGY CORP,BICL,353231,8071
BIOCHEM INTERNATIONAL INC,3BCHM,312833,3845
BIOCRAFT LABORATORIES INC,BCL.1,763043,2834
BIOGEN INC-OLD,BGEN,714655,2836
BIOGENIX INC,BGNX.,726077,3845
BIOMET INC,5938B,351346,3842
BIONEX CORP,BIOXF,714412,2090
BIONIC INSTRUMENTS INC,2224B,12231,3841
BIONIC SCIENCES CORP,IMAC.,12232,3613
BIOREX CORP,2439B,12237,6799
BIOSEARCH MEDICAL PRODS INC,BMPI.1,350646,3841
BIOTEL INC,3BTEL,1300128,3845
SPHERIX INC  -OLD,SPEX.2,1584361,2836
BIRD FUND INC,1212B,9450,7900
BIRD CORP,BIRD.1,12245,2950
NON INVASIVE MONITOR,NIMU,720762,3845
BIRDSBORO CORP,3BBCO,12257,3540
BIOTECH RESEARCH LABS INC,3BTRL,350405,2835
BIO-LOGIC SYSTEMS CORP,BLSC,355007,3845
BIONOMIC SCIENCES INTL INC,3IGNG.,705562,3843
BIOSTIM INC,4514B,710376,3845
BIOTECHNICA INTL INC,3BIOT.,715374,100
BIOSYNERGY INC,BSYN,715812,3829
MICROFLUIDICS INTL CORP,3MFLU,723889,3821
BIRTCHER MEDICAL SYSTEMS,BIRT.1,12288,3845
BISHOP INC,3BISHE,12304,7373
BLACK & DECKER CORP,BDK,12355,3540
BLACK ANGUS SYSTEMS INC,BLCK.1,12363,5812
BLACK DOME ENERGY CORP,3BDEC,316704,1311
BROADBAND WIRELESS INTL CORP,BBAN,12388,4899
BLACK HILLS CORP,BKH,1130464,4911
BLACK INDUSTRIES INC,BLAK.,12404,1623
BLACKSTONE VALLEY ELECTRIC,EUA1,12473,4911
LEXINGTON PRECISION CORP,LEXPQ,12570,3060
BLESSINGS CORP,BCO.1,12614,3081
BLOCK DRUG  -CL A,BLOCA,12654,2844
BLOCK ENGINEERING INC,BLOK.1,12655,3829
BLOCK H & R INC,HRB,12659,7200
VALARIS LTD,VAL,314808,1381
BLOUNT INTL INC,BLT,1001606,3420
BLUE BELL INC,BBL.1,12721,2320
BLUE CHIP STAMPS,BLUE.1,12733,2060
BLUE RIDGE REAL ESTATE CO,BRRE,12779,6500
BLUEFIELD SUPPLY CO,BFLDE,12794,5082
BLUEWATER OIL & GAS LTD,BWOGF,12801,1311
BOATMENS BANCSHARES INC,BOAT..,40454,6020
BOB EVANS FARMS,BOBE,33769,2013
BOBBIE BROOKS INC,BBKS,14537,3531
BOEING CO,BA,12927,3721
BOGERT OIL CO,BOGO,319230,1311
BOGUE ELECTRIC MFG CO,BGUE,12953,3620
BOHEMIA INC,BOHM,12960,2421
OFFICEMAX INC,OMX,12978,5110
BOKUM CORP,2768B,12999,1000
BOKUM RESOURCES CORP,2802B,13000,1090
CIRCA PHARMACEUTICALS INC,RXC,13006,2834
BBN CORP,BBN.1,13021,7373
BOLT TECHNOLOGY CORP,BOLT.1,354655,3533
BOMAINE CORP,BOMC,13034,2390
CARDIODYNAMICS INTL CORP,CDIC,719722,3845
COMJOYFUL INTERNATIONAL CO,KJFI,13033,9995
BOMARKO INC,5833B,48054,2670
BONRAY DRILLING CORP,BNRY,351693,1381
BONRAY ENERGY CORP,4362B,745294,1311
BOOK-OF-THE-MONTH CLUB INC,BOK,1762424,2731
BOOKS MOBILE INC,3BMIE,13179,5961
BOOLE & BABBAGE INC,BOOL,734394,7372
BOONTON ELECTRONICS CORP,3BOON,13191,3825
BOOTH INC,BTH.2,13206,3585
BOOTH NEWSPAPERS INC,BNEW,13211,2711
ROBERT HALF INTL INC,RHI,315213,7363
HEXION INC,0141A,13239,2821
TRANSAMERICA COMML FINL CP,4903A,13268,6153
BURNS INTL SERVICES CORP,BOR.1,817945,7381
BORMAN'S INC,6036B,13290,5411
BORNE CHEMICAL CO INC,1981B,13298,2911
BORO RECYCLING INC,BOROC,737738,5090
BOSTON DIGITAL CORP,3BDTL,13370,3541
NSTAR,NST,1035675,4911
BOSTON GAS CO,EFU3,13390,4924
BOURNS INC,BOU.1,13506,3674
BOUTON CORP,3BOTN,64382,3851
RESOLUTE FOREST PRODUCTS INC,RFP,1393066,2621
REXAM PLC,REXMY,13522,3411
BOWEN INVESTMENT CO,AUS.1,8703,5045
ENTRPRIZE CORP,ENTP,13547,1700
BOWL AMERICA INC  -CL A,BWL.A,13573,7900
BOWLES FLUIDICS CORP,BOWE,13585,3714
BOWLINE CORP,3BOLN,34682,7374
WHITE ELECTRONIC DESIGNS CP,WEDC,13606,3674
BOWNE & CO INC,BNE.1,13610,2750
TB HOLDINGS CO,1976B,13653,3990
BOZZUTOS INC,BOZZ,13682,5141
BRADLEY REAL ESTATE INC,BTR.1,13777,6798
BRADY CORP,BRC,746598,3990
BRADY ENERGY CORP,3BRDB,33136,1311
BRAE CORP,BRAE,719511,4700
BRAEWOOD DEVELOPMENT CORP,4001B,13803,1531
RICHEY ELECTRS INC,RCHY,320591,5065
BRL ENTERPRISES INC,BRAL10,13824,6799
BB&T FINANCIAL CORP,BBTF,13839,6020
RUST INTERNATIONAL INC,RST.1,901172,8711
BRANDYWINE SPORTS INC,BRDY,215279,7948
BRANIFF INC,3BAIRQ,737576,4512
BRANIFF INTERNATIONAL CORP,BNF.3,13892,4512
BROOKFIELD ASSET MANAGEMENT,BAM,1001085,6200
BRAVO KNITS INC,1105B,13961,2250
BRENCO INC,BREN,14029,3562
BRENNER COMPANIES INC,BNER,275148,5010
BRENTWOOD INSTRUMENTS INC,3BRWD,769794,5047
BRESLER & REINER INC,BRER,14073,6512
BREVEL PRODUCTS CORP,BRVO.1,14092,3690
BRIARCLIFF CANDY CORP,BRIC.,200098,5140
BRIDGE COMMUNICATIONS INC,BLAN,738010,7373
BRIDGFORD FOODS CORP,BRID,14177,2013
BRIGGS & STRATTON,BGGSQ,14195,3510
BRIGGS LEASING CORP,BLEO,14202,7389
BRIGGS TRANSPORTATION CO,BRGG,14205,4210
BRINKMANN INSTRUMENTS INC,BRIK.,810361,5080
BRINKS INC,BRNK,14244,7381
MSGI SECURITY SOLUTIONS INC,MSGI,14280,3679
BRISTOL-MYERS SQUIBB CO,BMY,14272,2834
CATALYST PAPER CORP,CYSTQ,1144906,2621
TELUS CORP,TU,868675,4812
BP PLC,BP,313807,2911
BT GROUP PLC,BTY10,756620,4813
SHAREBASE CORP,SHBS,316845,3576
BROCK EXPLORATION CORP,BKE.,14399,1311
INTEGRA A HOTEL & REST,7479B,316740,7011
BRODIE EXPLORATION CORP,3BRDE,14423,1311
BROKERS MORTGAGE SERVICE INC,BMTG.,740115,6199
BRONCO OIL & GAS CO,3BRON.,14474,1311
KEYSPAN ENERGY CORP,KSE.,1022916,4932
BROOKS & PERKINS INC,BPI.2,1562961,3443
BROOKS FASHION STORES,BKS.1,14550,5621
BROOKS RESOURCES CORP,4363B,852942,6532
BROSS UTILITIES SERVICE CORP,1332B,14592,1600
BNS HOLDING CO,BNSSA,14637,3713
BROWN FORMAN CORP,BF.B,14693,2085
CALERES INC,CAL,14707,3140
BROWN (TOM) INC,TBI.,14803,1311
BROWNING,BRWN.,14825,5040
BROWNING-FERRIS INDS,BFI.,14827,4953
BRUCE (ROBERT) IND  -CL A,5728B,753263,2253
BRUNOS INC,BRNO20,14920,5411
BRUNSWICK CORP,BC,14930,3510
BRUNTON CO,1902B,14947,3829
JAB INTERNATIONAL INC,JABI,715583,1040
MATERION CORP,MTRN,1104657,3330
BRYAN STEAM CORP,3BSTM,14971,3443
BUCK ENGINEERING CO INC,2932B,15056,3690
BUCKEYE INTL INC,BEYE.,15070,3320
BUCKHORN INC DEL,BKN.1,1715850,3089
BUCKNELL INDUSTRIES INC,4470B,764545,2750
BUDD CO,BF.,15133,3714
BUELL INDUSTRIES INC,BUE,15166,3452
BUFFALO FORGE CO,BFC.2,15185,3564
BFX HOSPITALITY GROUP,BFX,351220,5812
BUFFUMS,BUFF.1,15218,5311
BUILDERS TRANSPORT INC,TRUKQ,726617,4213
BUILDEX INC,BLX.1,15245,3420
WINMILL & CO INC  -CL A,WNMLA,52234,6282
BULOVA CORP,3BULV,15310,5094
BUN & BURGER INTL INC,1467B,15323,5812
BUNDY CORP,BNY.1,15332,3317
BUNING INTERNATIONAL INC,3BUNY,15340,5990
BUNTING INC,BUNT.1,15359,3663
BURDOX INC,BDOX,15389,2810
BUREAU OF NATIONAL AFFAIRS,2628B,15393,2721
BULLARD CO,BLD.1,15269,3540
BURING FOOD GROUP INC,BFG.,15437,2011
FORTRAN CORP,FRTN,15486,3661
BURKE SECURITY INC,3072B,15476,7381
BURLINGTON COAT FACTORY INVS,0015B,718916,5651
ELEKTROS INC,ELEK,1518487,3711
BURLINGTON INDUSTRIES INC,3BRLGQ,870213,2200
BURLINGTON NORTHERN SANTA FE,BRK3,934612,4011
BURNDY CORP,BDC.2,15523,3678
BURNHAM AMERICAN PROPERTIES,BMP.,815133,6512
BURNHAM SERVICE CORP,5574C,713093,4210
BURNLEY CORP,1169B,95061,3523
MASTEC INC,MTZ,15615,1623
BURR-BROWN CORP,BBRC.1,715577,3674
BURRIS CHEMICAL INC,1338B,15632,5160
UNISYS CORP,UIS,746838,7373
BURST AGRITECH INC,3BRRH,314940,2870
EMEX CORP,EMEX,15678,1311
BUSH INDUSTRIES  -CL A,BINDQ.1,758604,2511
BUSH UNIVERSAL INC,BSH.1,15723,4013
BUSINESS COMPUTER NETWORK,BCNC10,737954,7370
BUSINESS EXCHANGE INC,BXBXE,15764,1531
BUSINESSLAND INC,7552B,707542,5734
BUTLER INTL INC,BTL.2,15836,8744
BUTLER MFG CO,BBR.,15840,3448
BUTLER NATIONAL CORP,BUKS,15847,8741
BUSINESS COMPUTER SOLUTIONS,5729B,754509,7372
REUNION INDUSTRIES INC,RUNI,1003429,3490
BYNAMICS INC,BYNIF,351554,3579
C & R CLOTHIERS INC,3CLTH.,15993,5600
CAE INC,CAE,1173382,3690
CBI INDUSTRIES INC,CBI.2,310431,2810
CBM INC,1522B,18358,7373
CBS INC,CBS.1,18366,4833
CCI LIFE SYSTEMS INC,1342B,18383,3841
CC & S SYSTEMS INC,FRO2,215387,4813
CCR VIDEO CORP,3CCCR,320800,7812
CCX INC,CCXI.1,24009,3357
LIVERAMP HOLDINGS INC,RAMP,733269,7370
C-COR INC,CCBL,350621,3663
CDI CORP,CDI,18396,7363
CF & I STEEL CORP,3CFIPQ,19020,3312
CFS CONTINENTAL INC,CFSC.,19028,5140
C G S SCIENTIFIC CORP,CGSC,19047,3823
CHC CORP,CYH.2,19529,2741
CIGNA CORP,CI,1739940,6324
CIT GROUP INC-OLD,CIT.1,20388,6172
CMI CORP,CMI.3,21157,3531
CML GROUP,CMLK,729576,3949
CPI CORP,CPICQ,25354,7200
CSS INDUSTRIES INC,CSS,20629,2670
CMX CORP,6436B,74989,3861
CNA FINANCIAL CORP,CNA,21175,6331
CNW CORP,9257B,854385,4011
CVN COMPANIES INC,CAVN.,740356,5961
CPAC INC,CPAK,351717,2842
CPT HOLDING CORP,CPTD,25360,3440
CPU COMPUTER CORP,CPT.2,352542,5734
