conm,tic,cik,sic
AMERICAN SOFTWARE  -CL A,AMSWA,713425,7372
AMERICAN SOFTWARE TECHNOLOGY,4511B,723264,5734
ASK CORPORATION,ASKCD,314202,3433
AMERICAN SPECIALTY FOODS INC,1249B,52577,2000
TRANE INC,TT.2,836102,3585
AMERICAN PUBLIC ENERGY CO,AEN.1,319453,1311
AMERICAN SPORTS ADVIS,3PIKS,350190,5090
AMERICAN SERVICE BUREAU INC,2626B,5804,6411
AMERICAN STERILIZER CO,ASZ.2,5870,3842
AMERICAN STORES CO,ASC.1,90811,5411
AMERICAN STRATEGIC METALS,4308B,717037,3341
AMERICAN SYSTEMS INC,2301B,5886,3652
AMERICAN TECHNICAL CERAMICS,AMK.2,766430,3670
AT&T CORP,T.2,5907,4813
AMERICAN TV & COMMUNICATION,AMTV.,893769,4841
AMERICAN TELNET CORP,3ATLN,314306,7812
AMERICAN UNDERWRITERS GROUP,AUND20,5951,6411
AMERICAN VANGUARD CORP,AVD,5981,2870
AMERICAN VISION CENTERS INC,3AMVC,277592,5990
AMERICAN WATER WORKS INC,AWK.1,318819,4941
AMERICAN WELDING & MFG CO,AWLD.,6009,3728
AMERICAN WESTERN CORP (NEW),AWST,723198,2673
AMERICANA HOTELS & REALTY CP,3AHTC,356959,6798
AMERICAR INC,ACRO.,6045,7389
AMERON INTERNATIONAL CORP,AMN.2,790730,3270
AMES DEPT STORES INC,AMESQ,6071,5331
AMERITRUST CORP-OLD,AMTR.,20972,6020
AMERIFIN CORP,AFN.3,46741,6799
AMETEK INC,AME,1037868,3823
AMFAC INC,AMA.1,6097,5122
NEW AMERICAN SHOE CO,NASO,832474,3021
AMGEN INC,AMGN,318154,2836
AMHERST ASSOCIATES INC,AASI.,719158,7372
AMICON CORP,AMIC.,215101,3826
AMINEX RESOURCES CORP,1379B,6130,1220
AMISTAR CORP,AMTA,741559,3559
AMP INC,AMP.2,6164,3678
AMOCO CORP,AN.2,93397,2911
AMPAD CORP,AMPD.,723441,2670
AMPAL-AMERICAN ISRAEL CORP,AMPLQ,731859,5160
AMPCO METAL INC,AML.2,6175,3390
AMPCO-PITTSBURGH CORP,AP,6176,3460
AMPEX CORP,APX.3,6182,3651
AMPLICA INC,AMPI.,353577,3663
AMPOWER TECHNOLOGIES INC,APOW,354150,3577
AMQUEST CORP,4052B,357067,1311
AMREP CORP,AXR,6207,6552
AMSOUTH BANCORPORATION,ASO.1,3133,6020
AMSTAR CORP,4072A,807711,3540
AMSTED INDUSTRIES,4936C,6216,3320
AMTECH RESOURCES INC,ARII.1,106106,1311
AMTEL INC,ATI.2,6229,5172
ANACOMP INC,ANCPA,6260,7370
ANADITE INC,ADIT,6273,3460
ANAEROBIC ENERGY SYSTEMS INC,AESI,1119245,3569
ANALOG DEVICES,ADI,6281,3674
ANALOGIC CORP,ALOG,6284,3845
ANALYSTS INTERNATIONAL CORP,ANLY,6292,7371
ANAREN INC,ANEN,6314,3663
ANCHOR HOCKING CORP,ARH.1,6332,3220
ANCORP NATIONAL SERVICES INC,ANCP,6368,5812
ANDAL CORP,3ADLN,70262,9995
MOSCOW CABLECOM CORP,MOCC,6383,4899
CROWN ANDERSEN INC,CRAN,778808,3564
ANDERSON CLAYTON & CO,AYL.1,6410,2040
ANDERSON ELECTRIC CORP,AEL.1,200027,3613
ANDERSON GREENWOOD & CO,AGV.1,6432,3490
ANDERSON INDUSTRIES INC,ANDS.1,6435,3448
ASCO LIQUIDATING CORP,3ASCQ.,7659,6531
